3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
535.0	0.9325	-7838948072.15
536.0	0.932	-7894767951.85
537.0	0.9315	-7950609672.13
538.0	0.931	-8006472712.38
539.0	0.9305	-8062264597.81
540.0	0.93	-8118070978.67
541.0	0.9295	-8173894166.45
542.0	0.929	-8229532627.64
543.0	0.9285	-8285071215.5
544.0	0.9285	-8285070291.24
