2	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p
59	nan	nan	1	1	16.0	16.0	16.0	1.059	-1.28801947542e-19	8.77671717143e-18	4.17746061674e-19	1.0	-1.72292854219e-17	3.28013508824e-19	-2.14140516978e-19	1.0	4410346558.41	1520890.92913	-3530295.15019	1436215.21237	4575729540.53	1245780.21663	-3333720.73018	1245723.41951	4570280475.91
60	nan	nan	1	1	16.0	16.0	16.0	1.06	2.41086752612e-19	-4.17113433941e-18	4.13590306277e-19	1.0	-7.79905586184e-19	5.11184383668e-19	1.477046789e-19	1.0	4482136821.61	1527115.19887	-3551108.27645	1440733.98182	4655875365.42	1237882.04566	-3350213.03602	1237825.65795	4650392288.31
61	nan	nan	1	1	16.0	16.0	16.0	1.061	-4.45751088493e-20	-3.50986630541e-18	2.7112995246e-19	1.0	1.11458947947e-17	-9.07384044746e-20	2.91940162311e-19	1.0	4553859618.88	1533388.66946	-3571934.65631	1445289.76843	4736093211.2	1229900.7001	-3366683.03031	1229843.32012	4730576065.45
62	nan	nan	1	1	16.0	16.0	16.0	1.062	2.77932685818e-19	5.99752266215e-19	4.54750813557e-20	1.0	1.22512727908e-18	-1.11914228156e-19	2.03408841147e-18	1.0	4625515057.05	1539723.19572	-3592807.34926	1449895.43325	4816383006.26	1221811.93161	-3383169.20327	1221754.90808	4810831779.43
63	nan	nan	1	1	16.0	16.0	16.0	1.063	1.14772964353e-19	-1.27788949077e-17	-7.34006988355e-20	1.0	5.28490325572e-18	-1.79570984818e-19	2.65069365548e-18	1.0	4697103279.25	1546111.03044	-3613692.53408	1454541.61158	4896744698.13	1213649.81955	-3399632.3298	1213591.83846	4891159346.8
64	nan	nan	1	1	16.0	16.0	16.0	1.064	5.63276909924e-20	1.41750963723e-18	-1.75891685453e-19	1.0	2.29507812223e-17	-2.72638729897e-19	1.74492261293e-18	1.0	4768624389.22	1552562.56391	-3634626.35438	1459239.99993	4977178217.81	1205386.01822	-3416113.85307	1205328.35499	4971558739.27
65	nan	nan	1	1	16.0	16.0	16.0	1.065	-3.84976474527e-19	1.38834788104e-17	-3.26637080285e-20	1.0	1.19818104345e-18	5.688885032e-19	1.34256790091e-18	1.0	4840078529.95	1559071.57129	-3655572.86586	1463982.43598	5057683509.9	1197057.36329	-3432572.49035	1196998.78758	5052029875.49
66	nan	nan	1	1	16.0	16.0	16.0	1.066	8.19504376469e-20	-1.05127376666e-17	1.20913953221e-19	1.0	3.79137241147e-18	5.16584218707e-19	-8.01461085767e-19	1.0	4911465801.54	1565647.00354	-3676570.95048	1468779.45589	5138260508.01	1188631.31905	-3449052.30071	1188573.03816	5132572727.25
67	nan	nan	1	1	16.0	16.0	16.0	1.067	-6.74344105133e-19	2.57950649196e-18	2.15675764195e-19	1.0	-2.5136761501e-18	4.12187407958e-19	-3.18409941912e-19	1.0	4982786347.35	1572283.85134	-3697582.2038	1473623.84547	5218909153.46	1180148.22092	-3465509.6261	1180089.08898	5213187215.19
68	nan	nan	1	1	16.0	16.0	16.0	1.068	1.42619172494e-19	-4.41095054261e-18	6.32098336889e-20	1.0	4.4964744005e-18	2.93602795342e-19	1.67742302058e-19	1.0	5054040263.29	1578989.39853	-3718647.86879	1478524.74094	5299629382.53	1171571.38004	-3481990.80056	1171512.54638	5293873311.58
